0.000000000000000e+000	7.422546e+000
6.619428433956339e-009	7.422546e+000
1.323885686791268e-008	7.422546e+000
1.985828530186902e-008	7.422546e+000
2.647771373582536e-008	7.422546e+000
3.309714216978169e-008	7.422546e+000
3.971657060373803e-008	7.422546e+000
4.633599903769436e-008	7.422546e+000
6.399999818995639e-008	7.422547e+000
7.167999349633192e-008	7.422547e+000
8.191998723816596e-008	7.422547e+000
1.023999747218340e-007	7.422548e+000
1.279999963799128e-007	7.422550e+000
1.402879888701136e-007	7.422551e+000
1.566719788570481e-007	7.422552e+000
1.894399588309171e-007	7.422557e+000
2.559999927598256e-007	7.422568e+000
2.703370284962150e-007	7.422572e+000
2.867222121949457e-007	7.422576e+000
3.194925795924071e-007	7.422587e+000
3.850333143873300e-007	7.422615e+000
5.119999855196511e-007	7.422681e+000
8.367219780027355e-007	7.422989e+000
9.835332239433627e-007	7.423195e+000
1.151317505018365e-006	7.423481e+000
1.486165962968904e-006	7.424124e+000
1.721063956473907e-006	7.424690e+000
1.989518806193911e-006	7.425421e+000
2.526428505633920e-006	7.427022e+000
2.785053932901241e-006	7.427845e+000
3.107199752565246e-006	7.428957e+000
3.536727512117253e-006	7.430474e+000
3.771767401551317e-006	7.431317e+000
4.241847180419446e-006	7.433020e+000
4.515841272151268e-006	7.434012e+000
4.750138164942665e-006	7.434856e+000
4.949669665064114e-006	7.435569e+000
5.130029109720350e-006	7.436207e+000
5.341735515142256e-006	7.436950e+000
5.382829872765915e-006	7.437093e+000
5.455354449203382e-006	7.437344e+000
5.552053884453338e-006	7.437676e+000
5.707449984888609e-006	7.438205e+000
5.919733942920880e-006	7.438916e+000
6.145780190607984e-006	7.439659e+000
6.383649796050220e-006	7.440420e+000
6.620778883107596e-006	7.441154e+000
6.862291413315812e-006	7.441867e+000
7.102188262151039e-006	7.442531e+000
7.344862979606903e-006	7.443134e+000
7.587926830085891e-006	7.443637e+000
7.838822177016117e-006	7.443994e+000
8.108762001922924e-006	7.444160e+000
8.293929044943617e-006	7.444104e+000
8.507848644328544e-006	7.443868e+000
8.734146889365458e-006	7.443527e+000
8.991293802061001e-006	7.443150e+000
9.261831840327143e-006	7.442872e+000
9.524743866175239e-006	7.442723e+000
9.607595946882860e-006	7.442732e+000
9.718065387826354e-006	7.442777e+000
9.939004269713343e-006	7.442978e+000
1.038088203348732e-005	7.443804e+000
1.126463756103528e-005	7.446780e+000
1.303214861613118e-005	7.455061e+000
1.435648893830558e-005	7.462058e+000
1.463378574545423e-005	7.463565e+000
1.518837935975152e-005	7.466468e+000
1.629756658834611e-005	7.471725e+000
1.851594104553529e-005	7.480567e+000
2.045843752269102e-005	7.486959e+000
2.070981896253492e-005	7.487550e+000
2.121258184222272e-005	7.488630e+000
2.221810760159833e-005	7.490427e+000
2.355093108636740e-005	7.492299e+000
2.424565379211919e-005	7.493056e+000
2.454792369086726e-005	7.493326e+000
2.469534256621340e-005	7.493446e+000
2.475890188205142e-005	7.493495e+000
2.493200245769793e-005	7.493624e+000
2.503486632162097e-005	7.493696e+000
2.532642942255725e-005	7.493884e+000
2.556993913932829e-005	7.494025e+000
2.585730727896419e-005	7.494174e+000
2.621714872600035e-005	7.494336e+000
2.686691636840807e-005	7.494589e+000
2.708282123662977e-005	7.494655e+000
2.737069439425870e-005	7.494732e+000
2.794644070951658e-005	7.494860e+000
2.879952160092803e-005	7.494998e+000
3.050568338375094e-005	7.495159e+000
3.353604803097158e-005	7.495312e+000
3.387728038753616e-005	7.495315e+000
3.455974510066532e-005	7.495322e+000
3.592467452692365e-005	7.495332e+000
3.781738521637509e-005	7.495341e+000
3.998625679360277e-005	7.495349e+000
4.036479893149305e-005	7.495350e+000
4.229372657221792e-005	7.495354e+000
4.422265421294279e-005	7.495359e+000
4.615158185366766e-005	7.495363e+000
4.808050949439252e-005	7.495368e+000
5.000943713511739e-005	7.495372e+000
5.193836477584225e-005	7.495376e+000
5.386729241656712e-005	7.495380e+000
5.473288587839913e-005	7.495383e+000
5.559847934023114e-005	7.495385e+000
5.646407280206315e-005	7.495387e+000
5.732966626389515e-005	7.495388e+000
5.819525972572716e-005	7.495390e+000
5.906085318755917e-005	7.495392e+000
5.992644664939117e-005	7.495394e+000
6.141065771046756e-005	7.495397e+000
6.418576962378245e-005	7.495403e+000
6.681835523975574e-005	7.495409e+000
6.829048236029508e-005	7.495412e+000
6.973594093247390e-005	7.495416e+000
7.077991506899869e-005	7.495418e+000
7.122733255608074e-005	7.495419e+000
7.158526654574639e-005	7.495420e+000
7.206251186530057e-005	7.495421e+000
7.251880306156800e-005	7.495422e+000
7.307707886126368e-005	7.495423e+000
7.324368417828348e-005	7.495423e+000
7.341028949530329e-005	7.495424e+000
7.357689481232309e-005	7.495424e+000
7.374350012934289e-005	7.495424e+000
7.391010544636269e-005	7.495425e+000
7.407671076338250e-005	7.495425e+000
7.424331608040230e-005	7.495426e+000
7.430448515010696e-005	7.495426e+000
7.452073393399969e-005	7.495426e+000
7.473698271789240e-005	7.495427e+000
7.495323150178512e-005	7.495427e+000
7.516948028567784e-005	7.495428e+000
7.538572906957057e-005	7.495428e+000
7.560197785346328e-005	7.495429e+000
7.581822663735600e-005	7.495429e+000
7.599796956822448e-005	7.495430e+000
7.614829867393064e-005	7.495430e+000
7.634873748153887e-005	7.495430e+000
7.671548523361753e-005	7.495431e+000
7.695601180274739e-005	7.495431e+000
7.724954884457407e-005	7.495432e+000
7.875901158021131e-005	7.495436e+000
8.026847431584856e-005	7.495439e+000
8.177793705148582e-005	7.495442e+000
